dataset_id,seed,variant,acyclic,edge_mass,incoming_edge_mass,parent_limit_violation_rate,threshold,thresholded_edge_density
1510,1,full,True,7.501921653747559,"[0.07271668314933777, 0.23730021715164185, 0.1925174593925476, 0.17453473806381226, 0.18988192081451416, 0.1946587711572647, 0.20523399114608765, 0.19441556930541992, 0.3072015941143036, 0.19521673023700714, 0.1832013577222824, 0.17843250930309296, 0.16940325498580933, 1.4034976959228516, 0.20699232816696167, 0.43302488327026367, 0.1949775516986847, 0.013776367530226707, 0.15986724197864532, 0.5325099229812622, 0.16892358660697937, 0.180198073387146, 0.17841000854969025, 0.623361349105835, 0.17869451642036438, 0.18177704513072968, 0.18559950590133667, 0.1915838122367859, 0.17401222884655, 0.0]",0.0,0.05,0.07126436781609195
1510,2,full,True,10.328422546386719,"[0.3049522340297699, 0.28679773211479187, 0.29028022289276123, 0.10978160053491592, 0.3089468777179718, 0.36018601059913635, 0.6896997094154358, 0.127609983086586, 0.11135485768318176, 0.3492068648338318, 0.2365526556968689, 0.29817306995391846, 0.028466789051890373, 0.29972735047340393, 0.6960555911064148, 0.5176481008529663, 0.31287112832069397, 0.30327969789505005, 0.665124237537384, 0.4046269357204437, 0.2572813332080841, 0.14394937455654144, 0.0, 0.05033455789089203, 0.5439767241477966, 0.33679813146591187, 0.31921303272247314, 0.2462160289287567, 1.5729923248291016, 0.1563190519809723]",0.03333333333333333,0.05,0.07126436781609195
1510,0,full,True,18.783809661865234,"[0.28511279821395874, 0.29190269112586975, 0.010870841331779957, 1.4141868352890015, 0.2801509201526642, 0.8623769283294678, 1.2255001068115234, 0.29782894253730774, 0.04544766619801521, 0.31181150674819946, 1.2631704807281494, 1.1239289045333862, 0.2797580063343048, 0.3017812669277191, 0.288642942905426, 0.27897074818611145, 0.3016682267189026, 0.2974070906639099, 0.3109307885169983, 1.0216985940933228, 0.2950078845024109, 1.2075724601745605, 1.5412182807922363, 1.3204474449157715, 0.9707229733467102, 0.058963365852832794, 1.3812018632888794, 0.2954990863800049, 0.0, 1.2200289964675903]",0.26666666666666666,0.05,0.23563218390804597
6,3,full,True,13.304943084716797,"[0.5000232458114624, 1.4680241346359253, 1.014506220817566, 0.11907325685024261, 0.3923279941082001, 0.26998358964920044, 0.3044171929359436, 1.559765100479126, 2.4857192039489746, 0.6842001676559448, 1.7549281120300293, 0.4309133291244507, 0.02439524605870247, 1.1888647079467773, 1.1078006029129028, 0.0]",0.3125,0.05,0.3958333333333333
6,4,full,True,14.36204719543457,"[0.9823660850524902, 0.5985590815544128, 0.3953072726726532, 0.0, 1.4320497512817383, 0.024415647611021996, 1.000196099281311, 1.4347988367080688, 2.073373794555664, 0.6538338661193848, 0.3396315574645996, 0.1929323971271515, 0.557853102684021, 0.9694474339485168, 2.664452075958252, 1.042830228805542]",0.1875,0.05,0.39166666666666666
6,1,full,True,15.107609748840332,"[0.679713785648346, 0.5387710928916931, 0.25415414571762085, 0.37085360288619995, 0.11811193823814392, 0.38900408148765564, 0.9932066798210144, 1.638000249862671, 1.183026909828186, 1.34308922290802, 0.0, 1.7642343044281006, 1.7390806674957275, 1.276384711265564, 2.791931629180908, 0.028047164902091026]",0.375,0.05,0.3958333333333333
6,2,full,True,14.747282028198242,"[1.0260937213897705, 0.28488874435424805, 0.7577238082885742, 0.018644209951162338, 0.598562479019165, 0.26139646768569946, 0.9323481321334839, 1.475311517715454, 0.5019137859344482, 1.033060073852539, 0.0, 1.3254183530807495, 2.2914891242980957, 0.16291925311088562, 2.8452811241149902, 1.2322319746017456]",0.1875,0.05,0.3875
6,0,full,True,14.309046745300293,"[1.1446583271026611, 0.0, 0.055073902010917664, 0.7321402430534363, 0.22332707047462463, 1.017090916633606, 0.5836700201034546, 0.3122459053993225, 2.010392665863037, 1.0379310846328735, 1.1263418197631836, 2.488787889480591, 0.5184538960456848, 0.9249584078788757, 0.8223628401756287, 1.3116120100021362]",0.125,0.05,0.39166666666666666
260026,3,full,True,1.2095050811767578,"[0.0, 0.0573878176510334, 0.026845719665288925, 0.35619041323661804, 0.11562715470790863, 0.19650308787822723, 0.1799904853105545, 0.2769604027271271]",0.125,0.05,0.25
260026,4,full,True,0.7241522669792175,"[0.04787105694413185, 0.09822546690702438, 0.0, 0.15655109286308289, 0.1424916535615921, 0.10645481199026108, 0.10001162439584732, 0.0725465714931488]",0.0,0.05,0.10714285714285714
260026,1,full,True,1.0796687602996826,"[0.026458268985152245, 0.07578536868095398, 0.2883898615837097, 0.15813304483890533, 0.16089670360088348, 0.0, 0.0892522782087326, 0.28075316548347473]",0.0,0.05,0.10714285714285714
260026,2,full,True,1.2365617752075195,"[0.11633670330047607, 0.14688408374786377, 0.18231728672981262, 0.0, 0.27342110872268677, 0.3600755035877228, 0.033054471015930176, 0.12447265535593033]",0.125,0.05,0.17857142857142858
260026,0,full,True,0.7519935965538025,"[0.11194708943367004, 0.023714600130915642, 0.0887923538684845, 0.12195884436368942, 0.08366397023200989, 0.13725334405899048, 0.0, 0.18466340005397797]",0.0,0.05,0.125
40975,3,full,True,2.4945011138916016,"[0.0, 0.2327951192855835, 0.17333589494228363, 0.7942936420440674, 0.6364007592201233, 0.6576754450798035]",0.0,0.05,0.36666666666666664
40975,4,full,True,3.1523361206054688,"[0.15179094672203064, 1.1687090396881104, 0.8761959075927734, 0.5792041420936584, 0.3764359652996063, 0.0]",0.0,0.05,0.5
